# name | realpath | file-arch
fpcalc | /usr/local/Cellar/chromaprint/1.6.0/bin/fpcalc | Mach-O 64-bit executable x86_64
freetype-config | /usr/local/Cellar/freetype/2.14.3/bin/freetype-config | POSIX shell script text executable, ASCII text
fribidi | /usr/local/Cellar/fribidi/1.0.16/bin/fribidi | Mach-O 64-bit executable x86_64
ftfy | /usr/local/bin/ftfy | a /usr/local/opt/python@3.14/bin/python3.14 script text executable, ASCII text
funasr | /usr/local/bin/funasr | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
funasr-export | /usr/local/bin/funasr-export | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
funasr-hydra | /usr/local/bin/funasr-hydra | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
funasr-jsonl2scp | /usr/local/bin/funasr-jsonl2scp | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
funasr-scp2jsonl | /usr/local/bin/funasr-scp2jsonl | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
funasr-sensevoice2jsonl | /usr/local/bin/funasr-sensevoice2jsonl | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
funasr-server | /usr/local/bin/funasr-server | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
